0.204	7.312e-5
0.220	5.422e-5
0.231	4.027e-5
0.255	2.984e-5
0.275	2.325e-5
0.287	1.786e-5
0.313	1.329e-5
0.355	1.100e-5
0.391	9.660e-6
0.423	8.591e-6
0.462	7.708e-6
0.490	6.995e-6
0.514	9.210e-6
0.524	5.870e-6
0.557	4.717e-6
0.605	4.891e-6
0.686	5.140e-6
0.809	5.215e-6
0.904	5.215e-6
1.011	5.264e-6
1.143	5.575e-6
1.279	6.061e-6
1.431	6.526e-6
1.586	6.962e-6
1.770	6.875e-6
1.933	6.790e-6
2.116	6.707e-6
2.322	6.612e-6
2.582	6.617e-6
2.859	6.274e-6
3.191	6.274e-6
3.491	6.545e-6
3.832	6.820e-6
4.260	7.325e-6
4.940	7.806e-6
5.416	9.565e-6
5.785	1.098e-5
6.263	1.377e-5
6.764	1.635e-5
7.065	1.831e-5
7.717	2.089e-5
8.453	2.467e-5
